name,birth,deathstamp
George_Blake,1922,2020-12-26
Murray_Walker,1923,2021-03-13
David_Cox_(statistician),1924,2022-01-18
Antony_Hewish,1924,2021-09-13
Leslie_Phillips,1924,2022-11-07
Angela_Lansbury,1925,2022-10-11
Peter_Brook,1925,2022-07-02
Dorothy_E._Smith,1926,2022-06-03
Cyril_Mango,1928,2021-02-08
Paul_Johnson_(writer),1928,2023-01-12
Tommy_Docherty,1928,2020-12-31
Pat_Hitchcock,1928,2021-08-09
Bernard_Cribbins,1928,2022-07-27
Monty_Norman,1928,2022-07-11
Betty_Boothroyd,1929,2023-02-26
Jack_Higgins,1929,2022-04-09
Shirley_Williams,1930,2021-04-11
Sally_Ann_Howes,1930,2021-12-19
Jack_Hedley,1930,2021-12-11
John_Elliott_(historian),1930,2022-03-10
Chris_Barber,1930,2021-03-02
John_Polkinghorne,1930,2021-03-09
Richard_Lynn,1930,2023-07-17
Henry_Lincoln,1930,2022-02-00
Abdalqadir_as-Sufi,1930,2021-08-01
Leslie_Bricusse,1931,2021-10-19
Kelsang_Gyatso,1931,2022-09-17
Michael_Fisher,1931,2021-11-26
Fay_Weldon,1931,2023-01-04
John_le_Carr̩,1931,2020-12-12
Trevor_Peacock,1931,2021-03-08
Barbara_Shelley,1932,2021-01-03
Nigel_Lawson,1932,2023-04-03
Murray_Melvin,1932,2023-04-14
Mike_Hodges,1932,2022-12-17
Richard_Rogers,1933,2021-12-18
Keith_Johnstone,1933,2023-03-11
Zia_Mohyeddin,1933,2023-02-13
David_McCallum,1933,2023-09-25
John_Richardson_(actor),1934,2021-01-05
Harrison_Birtwistle,1934,2022-04-18
Kallistos_Ware,1934,2022-08-24
Sylvia_Syms,1934,2023-01-27
Tony_Walton,1934,2022-03-02
Nicolas_Coster,1934,2023-06-26
Mary_Quant,1934,2023-04-13
Raymond_Briggs,1934,2022-08-09
David_McKee,1935,2022-04-06
April_Ashley,1935,2021-12-27
Michael_Parkinson,1935,2023-08-16
Anthony_Powell_(designer),1935,2021-04-16
Lester_Piggott,1935,2022-05-29
Glenda_Jackson,1936,2023-06-15
Peter_Bowles,1936,2022-03-17
Hugh_Hudson,1936,2023-02-10
Kenneth_White,1936,2023-08-11
Roger_Whittaker,1936,2023-09-13
David_Bailie,1937,2021-03-06
Barbara_Windsor,1937,2020-12-10
Bobby_Charlton,1937,2023-10-21
John_Williamson_(economist),1937,2021-04-11
Una_Stubbs,1937,2021-08-12
Paxton_Whitehead,1937,2023-06-16
Simon_Preston,1938,2022-05-13
Anne_Perry,1938,2023-04-10
Ron_Hill,1938,2021-05-23
Shivkumar_Sharma,1938,2022-05-10
Ian_St_John,1938,2021-03-01
Roger_Hunt,1938,2021-09-27
