name,profession,age,ranking_visib_5criteria,date_added_to_alivewatch,risk_factor
Eva_Marie_Saint,actor,100,4201.0,2024-01-03,0.973995
Hampton_Fancher,actor,86,38997.0,2024-01-03,0.338015
Lynn_Conway,engineer,86,39863.0,2024-01-03,0.333685
Daniel_Kleppner,physicist,92,79383.0,2024-01-03,0.334085
Kenneth_Colley,actor,87,46256.0,2024-01-03,0.33472
John_Danforth,politician,88,52793.0,2024-01-03,0.335035
Tommy_Sands_(American_singer),singer,87,45977.0,2024-01-03,0.336115
Clarence_Carter,singer,88,52209.0,2024-01-03,0.337955
Jane_Wagner,screenwriter,89,58729.0,2024-01-03,0.338355
James_Harris_Simons,mathematician,86,38478.0,2024-01-03,0.34061
Joseph_Wambaugh,writer,87,45510.0,2024-01-03,0.33845
Bud_Selig,baseball,90,65266.0,2024-01-03,0.33867
Terry_Kiser,actor,85,32229.0,2024-01-03,0.338855
William_Bolcom,pianist,86,38810.0,2024-01-03,0.33895
Joan_Jonas,choreographer,88,51980.0,2024-01-03,0.3391
Ralph_E._Gomory,mathematician,95,97963.0,2024-01-03,0.340185
Helen_Prejean,monk,85,33304.5,2024-01-03,0.3334775
Michael_Hudson_(economist),economist,85,33391.0,2024-01-03,0.333045
Peter_H._Raven,botanist,88,53356.0,2024-01-03,0.33222
Jerry_Kramer,football,88,53382.0,2024-01-03,0.33209
Rich_Little,impressionist,86,40243.0,2024-01-03,0.331785
James_E._Darnell,biologist,94,93123.5,2024-01-03,0.3313825
Will_Hutchins,actor,94,93251.0,2024-01-03,0.330745
Mason_Williams,music,86,40469.0,2024-01-03,0.330655
James_M._McPherson,historian,88,53713.5,2024-01-03,0.3304325
John_F._MacArthur,writer,85,34009.0,2024-01-03,0.329955
Alan_Walker_(musicologist),music,94,93415.0,2024-01-03,0.329925
Susan_Brownmiller,feminist,89,60417.0,2024-01-03,0.329915
"Richard_Layard,_Baron_Layard",economist,90,67205.0,2024-01-03,0.328975
Rudy_Boschwitz,politician,94,93715.5,2024-01-03,0.3284225
Bruce_Babbitt,politician,86,41115.5,2024-01-03,0.3274225
Jackie_Joseph,actor,90,67619.0,2024-01-03,0.326905
Kevin_Brownlow,film,86,41238.0,2024-01-03,0.32681
Robert_Adams_(photographer),photographer,87,45089.0,2024-01-03,0.340555
Hyman_Bass,mathematician,92,77965.0,2024-01-03,0.341175
Pema_Ch̦dr̦n,writer,88,54764.0,2024-01-03,0.32518
George_M._Whitesides,chemist,85,29281.5,2024-01-03,0.3535925
Daniel_C._Tsui,physicist,85,29756.0,2024-01-03,0.35122
David_Pryor,politician,90,62676.0,2024-01-03,0.35162
Eleanor_Coppola,film,88,49345.0,2024-01-03,0.352275
Raymond_J._Barry,actor,85,29482.5,2024-01-03,0.3525875
Wolfgang_Smith,mathematician,94,88844.0,2024-01-03,0.35278
Joseph_D._Pistone,crime,85,29414.0,2024-01-03,0.35293
John_Negroponte,politician,85,29134.5,2024-01-03,0.3543275
Eddie_Floyd,singer,87,44903.0,2024-01-03,0.341485
Mike_Ditka,football,85,29115.0,2024-01-03,0.354425
William_Julius_Wilson,sociologist,89,55341.0,2024-01-03,0.355295
Lawrence_Gordon_(producer),film,88,48720.0,2024-01-03,0.3554
Ren̩e_Richards,player,90,61859.0,2024-01-03,0.355705
Bill_Mazeroski,baseball,88,48647.0,2024-01-03,0.355765
Yvon_Chouinard,mountaineer,86,35197.0,2024-01-03,0.357015
Jo_Baer,painter,95,95769.0,2024-01-03,0.351155
Peter_Kreeft,theologian,87,43086.0,2024-01-03,0.35057
Kathryn_Beaumont,actor,86,36510.0,2024-01-03,0.35045
Jerome_Rothenberg,poet,93,82756.0,2024-01-03,0.35022
Aidan_Chambers,playwright,90,62999.0,2024-01-03,0.350005
Nita_Lowey,politician,87,43261.5,2024-01-03,0.3496925
Roland_Burris,politician,87,43442.0,2024-01-03,0.34879
Barbara_Leigh-Hunt,actor,89,56666.5,2024-01-03,0.3486675
Frances_Fox_Piven,political_scientist,92,76752.0,2024-01-03,0.34724
Stu_Phillips_(composer),composer,95,96717.0,2024-01-03,0.346415
Robert_Darnton,historian,85,30927.0,2024-01-03,0.345365
Arthur_Scargill,politician,86,37567.5,2024-01-03,0.3451625
Peggy_Seeger,singer,89,57370.0,2024-01-03,0.34515
Alice_Hirson,actor,95,96994.0,2024-01-03,0.34503
Susan_Flannery,actor,85,31108.0,2024-01-03,0.34446
Dallin_H._Oaks,lawyer,92,77657.0,2024-01-03,0.342715
Peter_Lovesey,writer,88,51485.0,2024-01-03,0.341575
Viva_(actress),actor,86,41351.0,2024-01-03,0.326245
Larry_Peerce,film,94,94554.0,2024-01-03,0.32423
Robert_Colbert,actor,93,81275.0,2024-01-03,0.357625
Joel_Meyerowitz,photographer,86,45353.0,2024-01-03,0.306235
Peter_Lupus,actor,92,86148.0,2024-01-03,0.30026
Rita_R._Colwell,research,90,72817.5,2024-01-03,0.3009125
Robert_A._M._Stern,architect,85,39756.0,2024-01-03,0.30122
Margaret_Hamilton_(scientist),computer_scientist,88,59534.0,2024-01-03,0.30133
Nikolai_Tolstoy,writer,89,65177.0,2024-01-03,0.306115
David_Zinman,conductor,88,58570.0,2024-01-03,0.30615
Michael_Fairman,actor,90,71549.0,2024-01-03,0.307255
Robert_Shaye,film,85,38131.0,2024-01-03,0.309345
Hubert_Laws,music,85,38386.0,2024-01-03,0.30807
Richard_Petty,nascar,87,51564.0,2024-01-03,0.30818
Frank_Serpico,police,88,58132.0,2024-01-03,0.30834
Michael_Bell_(actor),actor,86,44916.0,2024-01-03,0.30842
Samuel_Bowles_(economist),economist,88,58030.0,2024-01-03,0.30885
Jane_Elliott,activist,91,77809.0,2024-01-03,0.308955
Anita_Gillette,actor,88,59761.0,2024-01-03,0.300195
Nicholas_Grimshaw,architect,85,40074.0,2024-01-03,0.29963
Patrick_Godfrey,actor,91,79739.0,2024-01-03,0.299305
John_Guare,playwright,86,46755.0,2024-01-03,0.299225
Stella_Rimington,author,89,66599.5,2024-01-03,0.2990025
Sam_Moore,singer,89,66758.0,2024-01-03,0.29821
Judith_Viorst,writer,93,93163.0,2024-01-03,0.298185
Kenneth_Copeland,actor,88,60231.0,2024-01-03,0.297845
