name,profession,age,ranking_visib_5criteria,date_added_to_alivewatch,risk_factor
Joe_Torre,baseball,85,14744.0,2025-01-03,0.42628
Roy_Ayers,singer,85,28533.5,2025-01-03,0.3573325
Peter_Atkins,chemist,85,28187.0,2025-01-03,0.359065
Chip_Taylor,music,85,28092.0,2025-01-03,0.35954
Ken_Jenkins,actor,85,27283.0,2025-01-03,0.363585
Daniel_J._Travanti,actor,85,27196.5,2025-01-03,0.3640175
James_Burrows,screenwriter,85,27011.0,2025-01-03,0.364945
Norman_Spinrad,writer,85,26787.0,2025-01-03,0.366065
Chuck_Mangione,conductor,85,26433.5,2025-01-03,0.3678325
Larry_Brown_(basketball),basket,85,25514.0,2025-01-03,0.37243
Natalia_Makarova,ballet,85,24756.0,2025-01-03,0.37622
Tom_Brokaw,journalist,85,24656.0,2025-01-03,0.37672
Quentin_Skinner,philosopher,85,23996.0,2025-01-03,0.38002
Donna_Mills,actor,85,22315.5,2025-01-03,0.3884225
Trevor_Nunn,theatre,85,22287.0,2025-01-03,0.388565
Jorma_Kaukonen,guitar,85,20785.0,2025-01-03,0.396075
Peter_Diamond,economist,85,20780.0,2025-01-03,0.3961
Manfred_Mann_(musician),music,85,20546.0,2025-01-03,0.39727
Dan_Hedaya,actor,85,20401.0,2025-01-03,0.397995
Arthur_Laffer,economist,85,28408.0,2025-01-03,0.35796
Mariette_Hartley,actor,85,28773.5,2025-01-03,0.3561325
Jerry_Lucas,basket,85,18356.5,2025-01-03,0.4082175
Edmund_White,novelist,85,28800.0,2025-01-03,0.356
Carole_Pateman,political_scientist,85,38122.0,2025-01-03,0.30939
Dakin_Matthews,playwright,85,37955.0,2025-01-03,0.310225
David_Gates,guitar,85,36994.5,2025-01-03,0.3150275
Dick_Armey,politician,85,36806.0,2025-01-03,0.31597
Walter_Alvarez,geologist,85,36108.0,2025-01-03,0.31946
Chris_Farlowe,singer,85,34766.0,2025-01-03,0.32617
Joachim_Frank,chemist,85,34736.0,2025-01-03,0.32632
Carol_Heiss,skater,85,34448.5,2025-01-03,0.3277575
Jim_Clyburn,politician,85,34405.0,2025-01-03,0.327975
Joseph_L._Goldstein,geneticist,85,33795.0,2025-01-03,0.331025
Fran_Tarkenton,football,85,33645.5,2025-01-03,0.3317725
Mary_Beth_Peil,singer,85,32963.0,2025-01-03,0.335185
Tony_Bill,actor,85,32525.0,2025-01-03,0.337375
David_Seltzer,film,85,32219.5,2025-01-03,0.3389025
Bill_Medley,singer,85,31627.0,2025-01-03,0.341865
Austin_Pendleton,playwright,85,30600.0,2025-01-03,0.347
Larry_Hankin,actor,85,29887.0,2025-01-03,0.350565
Roy_Thomas,artist,85,20052.0,2025-01-03,0.39974
Lainie_Kazan,actor,85,18049.0,2025-01-03,0.409755
Terry_Gilliam,film,85,1131.0,2025-01-03,0.494345
George_Akerlof,economist,85,6147.5,2025-01-03,0.4692625
Smokey_Robinson,singer,85,4995.0,2025-01-03,0.475025
James_L._Brooks,screenwriter,85,4854.0,2025-01-03,0.47573
James_Brolin,actor,85,4827.0,2025-01-03,0.475865
Katharine_Ross,actor,85,4763.0,2025-01-03,0.476185
Jeffrey_Archer,novelist,85,4537.0,2025-01-03,0.477315
Lance_Henriksen,actor,85,4300.0,2025-01-03,0.4785
Nancy_Sinatra,singer,85,3671.0,2025-01-03,0.481645
James_Cromwell,actor,85,3623.0,2025-01-03,0.481885
Jack_Nicklaus,golf,85,3539.5,2025-01-03,0.4823025
Kip_Thorne,physicist,85,3214.0,2025-01-03,0.48393
Nancy_Pelosi,politician,85,3088.5,2025-01-03,0.4845575
Dionne_Warwick,singer,85,2945.0,2025-01-03,0.485275
Herbie_Hancock,singer,85,2131.0,2025-01-03,0.489345
Julie_Christie,actor,85,1980.0,2025-01-03,0.4901
Cliff_Richard,actor,85,1714.0,2025-01-03,0.49143
Brian_De_Palma,film,85,1579.0,2025-01-03,0.492105
Tom_Jones_(singer),singer,85,1380.0,2025-01-03,0.4931
Sam_Waterston,film,85,5350.5,2025-01-03,0.4732475
Patrick_Leahy,politician,85,6468.0,2025-01-03,0.46766
Alan_Kay,computer_scientist,85,16454.0,2025-01-03,0.41773
Thomas_Harris,writer,85,7041.0,2025-01-03,0.464795
William_Cohen,politician,85,16116.5,2025-01-03,0.4194175
David_Jason,actor,85,16086.0,2025-01-03,0.41957
Brian_Josephson,physicist,85,15493.0,2025-01-03,0.422535
Thelma_Schoonmaker,film,85,15328.0,2025-01-03,0.42336
Leonard_Susskind,physicist,85,15081.0,2025-01-03,0.424595
Robin_Cook_(American_novelist),writer,85,14706.0,2025-01-03,0.42647
Barney_Frank,politician,85,14592.0,2025-01-03,0.42704
Jill_St._John,actor,85,11183.5,2025-01-03,0.4440825
Linda_Gray,actor,85,11060.0,2025-01-03,0.4447
Lamar_Alexander,politician,85,10330.0,2025-01-03,0.44835
Paul_Williams_(songwriter),actor,85,10232.0,2025-01-03,0.44884
Pauline_Collins,actor,85,10047.0,2025-01-03,0.449765
Kenneth_Clarke,politician,85,9941.0,2025-01-03,0.450295
Mario_Andretti,driver,85,9879.0,2025-01-03,0.450605
Barry_Corbin,actor,85,9871.0,2025-01-03,0.450645
Frankie_Avalon,singer,85,9381.0,2025-01-03,0.453095
Barbara_Boxer,politician,85,7550.0,2025-01-03,0.46225
Godfrey_Reggio,film,85,39275.0,2025-01-03,0.303625
Candi_Staton,singer,85,39492.5,2025-01-03,0.3025375
John_Grinder,linguist,85,39687.0,2025-01-03,0.301565
Arthur_Elgort,photographer,85,88779.0,2025-01-03,0.056105
