Name,Profession,Approximate Current Age,Date Added to Alivewatch
Michael Gazzaniga,psychologist,86,2024-01-03
Phil Roman,animator,95,2024-01-03
Matthew Carter,designer,88,2024-01-03
Bob Dishy,actor,91,2024-01-03
John Neumeier,choreographer,86,2024-01-03
Roger McGough,author,88,2024-01-03
Bill Gaither (gospel singer),singer,89,2024-01-03
David Kaplan (philosopher),philosopher,92,2024-01-03
Marla Gibbs,singer,94,2024-01-03
Geoffrey Horne,actor,92,2024-01-03
Tak Fujimoto,cinema,86,2024-01-03
Yvon Chouinard,mountaineer,87,2024-01-03
Henry Jaglom,actor,87,2024-01-03
Bob Lilly,football,86,2024-01-03
Tony Ross,writer,87,2024-01-03
Maury Povich,presenter,86,2024-01-03
Martin Sherman,screenwriter,87,2024-01-03
Joe Alves,film,89,2024-01-03
Tony Anthony (actor),actor,88,2024-01-03
Lisa Lu,music,98,2024-01-03
Janette Scott,actor,87,2024-01-03
"Caroline Cox, Baroness Cox",politician,88,2024-01-03
Marty Wilde,singer,86,2024-01-03
Michael Edwards (literary scholar),writer,87,2024-01-03
Bill Watts,wrestler,86,2024-01-03
Alex Katz,painter,98,2024-01-03
Philippe de Montebello,art_historian,89,2024-01-03
Connie Mason,actor,88,2024-01-03
Denis Noble,biologist,89,2024-01-03
Ted Kaufman,politician,86,2024-01-03
Vera Miles,actor,95,2024-01-03
Lawrence Schiller,film,89,2024-01-03
Albert Mehrabian,psychologist,86,2024-01-03
Arthur Jaffe,mathematician,88,2024-01-03
Kim Weston,singer,86,2024-01-03
Bailey Howell,basket,88,2024-01-03
Satch Sanders,basket,87,2024-01-03
Michael Fried,art_historian,86,2024-01-03
Len Deighton,writer,96,2024-01-03
Frank McLintock,football,86,2024-01-03
Christina Crawford,actor,86,2024-01-03
Thomas Sowell,economist,95,2024-01-03
Solomon H. Snyder,neuroscientist,87,2024-01-03
Jimmie Nicol,music,86,2024-01-03
Quinlan Terry,architect,88,2024-01-03
Carol Morris,model,89,2024-01-03
John Astin,actor,95,2024-01-03
Chuck Robb,politician,86,2024-01-03
James Bolam,actor,90,2024-01-03
Robin Hartshorne,mathematician,87,2024-01-03
Lawrence Pressman,film,86,2024-01-03
Barry Cunliffe,anthropologist,86,2024-01-03
BarBara Luna,actor,86,2024-01-03
Joan Tower,conductor,87,2024-01-03
Gary Snyder,poet,95,2024-01-03
Nancy Coover Andreasen,psychiatrist,87,2024-01-03
Jack R. Lousma,aeronautical,89,2024-01-03
Tommy Tune,choreographer,86,2024-01-03
Rita Moreno,singer,94,2024-01-03
Roger Penrose,mathematician,94,2024-01-03
Charles Tart,psychologist,88,2024-01-03
Bradford Parkinson,engineer,90,2024-01-03
Luis Rafael SÃ¡nchez,novelist,89,2024-01-03
Billy Boy Arnold,singer,90,2024-01-03
Benjamin Zander,conductor,86,2024-01-03
Tom Flores,coach,88,2024-01-03
Marian Wright Edelman,lawyer,86,2024-01-03
Marion Ross,actor,97,2024-01-03
Renata Adler,novelist,87,2024-01-03
Tony Darrow,actor,87,2024-01-03
Keith Ward,theologian,87,2024-01-03
John Kingman,mathematician,86,2024-01-03
Gerald Holton,physicist,103,2024-01-03
Dan Burton,politician,87,2024-01-03
"Norman Fowler, Baron Fowler",politician,87,2024-01-03
Michael Wadleigh,film,86,2024-01-03
Eric Kandel,neurologist,96,2024-01-03
Terry Paine,football,86,2024-01-03
Ann Blyth,actor,97,2024-01-03
Elias James Corey,chemist,97,2024-01-03
Jake Holmes,singer,86,2024-01-03
Paula Gosling,novelist,86,2024-01-03
Marco St. John,actor,86,2024-01-03
Tom Lehrer,singer,97,2024-01-03
Desmond Morris,zoologist,97,2024-01-03
Roger Kellaway,composer,86,2024-01-03
Thomas McGuane,writer,86,2024-01-03
James Ivory,film,97,2024-01-03
Stephen H. Burum,cinema,86,2024-01-03
Vernon L. Smith,economist,98,2024-01-03
Larry Bryggman,actor,87,2024-01-03
Bob Cousy,basket,97,2024-01-03
Priscilla Pointer,actor,101,2024-01-03
William Daniels,actor,98,2024-01-03
Jim Lovell,officer,97,2024-01-03
Estelle Parsons,singer,98,2024-01-03
Rosemary Harris,actor,98,2024-01-03
Leontyne Price,singer,98,2024-01-03
James Watson,biologist,97,2024-01-03
Rudolph A. Marcus,chemist,102,2024-01-03
Lee Grant,film,98,2024-01-03
June Lockhart,actor,100,2024-01-03
Ray Anthony,actor,103,2024-01-03
Alan Greenspan,economist,99,2024-01-03
Tony Asher,songwriter,86,2024-01-03
Gene Hackman,actor,95,2024-01-03
Buzz Aldrin,astronaut,95,2024-01-03
Alasdair MacIntyre,philosopher,96,2024-01-03
Patricia Routledge,actor,96,2024-01-03
Jasper Johns,painter,95,2024-01-03
Paul Dooley,actor,97,2024-01-03
Dave Obey,politician,87,2024-01-03
John Kander,composer,98,2024-01-03
Sonny Rollins,composer,95,2024-01-03
Louis Hayes,music,88,2024-01-03
David Aaker,economist,87,2024-01-03
Jon Halliday,historian,86,2024-01-03
Robert Wagner,actor,95,2024-01-03
Berry Gordy,producer,96,2024-01-03
Gordon Milne,football,88,2024-01-03
Jim Hunt,politician,88,2024-01-03
Tippi Hedren,actor,95,2024-01-03
Larry Bell (artist),sculptor,86,2024-01-03
Joanne Woodward,actor,95,2024-01-03
William Perry,politician,98,2024-01-03
Mike Castle,politician,86,2024-01-03
Clive Wearing,conductor,87,2024-01-03
John Berendt,writer,86,2024-01-03
Tom Meschery,basket,87,2024-01-03
Robert Swindells,writer,86,2024-01-03
James E. Gunn (astronomer),astronomer,87,2024-01-03
Cleo Laine,actor,98,2024-01-03
Ben Cayetano,politician,86,2024-01-03
James Fargo,film,87,2024-01-03
James Hong,actor,96,2024-01-03
Lou Holtz,football,88,2024-01-03
David A. Kolb,education,86,2024-01-03
Angie Dickinson,actor,94,2024-01-03
John W. Snow,politician,86,2024-01-03
Michael Posner (psychologist),psychologist,89,2024-01-03
Eva Rubinstein,photographer,92,2024-01-03
John Harbison,composer,87,2024-01-03
Dick Richards,film,89,2024-01-03
Ken Blanchard,author,86,2024-01-03
Howard Blake,composer,87,2024-01-03
Candace Hilligoss,actor,90,2024-01-03
Robert Jay Lifton,psychiatrist,99,2024-01-03
June Squibb,actor,96,2024-01-03
Lewis Teague,film,87,2024-01-03
Waris Hussein,film,87,2024-01-03
Ed Sanders,music,86,2024-01-03
Gene Chandler,songwriter,88,2024-01-03
Lois Smith,actor,95,2024-01-03
Joyce Johnson,novelist,90,2024-01-03
Robin Knox-Johnston,explorer,86,2024-01-03
Vija Celmins,painter,87,2024-01-03
Doug Kershaw,music,89,2024-01-03
Karl E. Weick,psychologist,89,2024-01-03
Julian Barbour,physicist,88,2024-01-03
Jack Taylor (actor),actor,89,2024-01-03
Jerry Butler,music,86,2024-01-03
Josh McDowell,christian_apologist,86,2024-01-03
Louis Wade Sullivan,politician,92,2024-01-03
Sal Buscema,artist,89,2024-01-03
Henry Waxman,politician,86,2024-01-03
John A. Russo,screenwriter,86,2024-01-03
Shani Wallis,singer,92,2024-01-03
Wayne Embry,basket,88,2024-01-03
Teresa Heinz,philanthropist,87,2024-01-03
Carroll Ballard,film,88,2024-01-03
Martina Arroyo,singer,89,2024-01-03
Lois Capps,politician,87,2024-01-03
Gary Conway,actor,89,2024-01-03
Jonathan Tunick,composer,87,2024-01-03
Richard E. Stearns,computer_scientist,89,2024-01-03
Paul Stookey,music,88,2024-01-03
Satsvarupa dasa Goswami,poet,86,2024-01-03
Barry Primus,screenwriter,87,2024-01-03
Svetlana Alpers,art_historian,89,2024-01-03
"Kenneth Baker, Baron Baker of Dorking",politician,91,2024-01-03
Robert Alter,scholar,90,2024-01-03
James Petras,sociologist,88,2024-01-03
Steve Kuhn,pianist,87,2024-01-03
Cecil McBee,music,90,2024-01-03
Kevin Connor (director),film,88,2024-01-03
Philip Kotler,economist,94,2024-01-03
Tom Osborne,football,88,2024-01-03
Mary Peters (athlete),athletic,86,2024-01-03
Philip Anschutz,business,86,2024-01-03
John Harvey (author),writer,87,2024-01-03
Robert Mangold,painter,88,2024-01-03
Richard Schechner,theatre,91,2024-01-03
Charles Wright (poet),writer,90,2024-01-03
Freddy Cannon,singer,86,2024-01-03
Ketty Lester,actor,91,2024-01-03
Petula Clark,actor,93,2024-01-03
Gary U.S. Bonds,singer,86,2024-01-03
Jerry Schatzberg,screenwriter,98,2024-01-03
John Poindexter,officer,89,2024-01-03
Jeremiah P. Ostriker,astronomer,88,2024-01-03
Bernie Ecclestone,business,95,2024-01-03
James Baker,political,95,2024-01-03
Patrick Robinson (author),writer,86,2024-01-03
Gary Chapman (author),pastor,87,2024-01-03
Sonny Curtis,singer,88,2024-01-03
Ricky Tomlinson,actor,86,2024-01-03
Mike Mainieri,composer,87,2024-01-03
Terry Moore (actress),actor,96,2024-01-03
Frank Converse,actor,87,2024-01-03
Manuel Blum,computer_scientist,87,2024-01-03
John C. Wells,linguist,86,2024-01-03
Tony Harrison,poet,88,2024-01-03
James Glimm,mathematician,91,2024-01-03
Richard Zare,chemist,86,2024-01-03
Paul Winter,composer,86,2024-01-03
David Jenkins (figure skater),skater,89,2024-01-03
"Christopher Tugendhat, Baron Tugendhat",politician,88,2024-01-03
Claire Bloom,actor,94,2024-01-03
Tony Hatch,composer,86,2024-01-03
John W. Dower,author,87,2024-01-03
Mary Ann Glendon,diplomat,87,2024-01-03
Ric O'Barry,activist,86,2024-01-03
Nancy Olson,actor,97,2024-01-03
Cleve Moler,mathematician,86,2024-01-03
Ian Underwood,music,86,2024-01-03
Tom Monaghan,entrepreneur,88,2024-01-03
Alan Ford (actor),actor,87,2024-01-03
Carroll Baker,actor,94,2024-01-03
Peter Bonerz,film,87,2024-01-03
Otto F. Kernberg,psychiatrist,97,2024-01-03
Adam Greenberg (cinematographer),cinema,86,2024-01-03
Colin Thubron,writer,86,2024-01-03
Ralph Gibson,photographer,86,2024-01-03
Alfred Uhry,librettist,89,2024-01-03
Steven Rose,biologist,87,2024-01-03
Martha Layne Collins,politician,89,2024-01-03
Frederick Wiseman,film,95,2024-01-03
Dick Vitale,basket,86,2024-01-03
Henry Kamen,historian,89,2024-01-03
Edwin Frederick O'Brien,cardinal,87,2024-01-03
John M. Deutch,chemist,87,2024-01-03
William Kotzwinkle,screenwriter,87,2024-01-03
Ellen Burstyn,actor,93,2024-01-03
Nicky Cruz,evangelist,87,2024-01-03
